step: 500, loss:1.725604772567749, map:0.0 
step: 1000, loss:1.5809309482574463, map:0.0 
step: 1500, loss:0.8684983253479004, map:0.0 
step: 2000, loss:1.5370092391967773, map:0.0 
step: 2500, loss:0.714156985282898, map:0.0 
step: 3000, loss:1.2432490587234497, map:0.0 
step: 3500, loss:0.9238259792327881, map:0.0 
step: 4000, loss:0.7886491417884827, map:0.0 
step: 4500, loss:1.5757777690887451, map:0.0 
step: 5000, loss:0.47509753704071045, map:0.0 
step: 5500, loss:0.8921895027160645, map:0.0 
step: 6000, loss:1.6214163303375244, map:0.0 
step: 6500, loss:0.9494540691375732, map:0.0 
step: 7000, loss:1.1894612312316895, map:0.0 
step: 7500, loss:1.6459065675735474, map:0.0 
step: 8000, loss:0.7409871816635132, map:0.0 
step: 8500, loss:0.7614433765411377, map:0.0 
step: 9000, loss:1.0840386152267456, map:0.0 
step: 9500, loss:0.9784116148948669, map:0.0 
step: 10000, loss:1.4716644287109375, map:0.0 
